"%s was added to your shopping cart.","%s se añadió a su Carrito de Compras."
"%s was updated in your shopping cart.","%s se actualizó en su Carrito de Compras."
"(Excl. Tax)","(No Incluye Impuestos)"
"(Incl. Tax)","(Incl. Impuestos)"
"* Required Fields","* Campos Requeridos"
"Add coupon code for shopping cart","Agregar código de cupón al Descuento"
"Add gift messages to shopping cart","Agregar mensaje de regalo al Carrito"
"Add New Address","Agregar nuevas direcciones"
"Add New Condition","Añadir nueva  condición"
"Add product to shopping cart","Agregar producto al Carrito de Compras"
"Add product(s) to shopping cart","Agregar producto(s) al Carrito de Compras"
"Add to Cart","Agregar al carrito"
"Add to Compare","Agregar a la lista de comparación"
"Add to Wishlist","Agregar a la lista de artículos de interés"
"Additional Product Info","Información Adicional del Producto"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"After Adding a Product Redirect to Shopping Cart","Después de agregar un Producto ir al Carrito de Compras"
"Allow Guest Checkout","Permitir comprar a los invitados"
"Already registered?","¿Ya está registrado?"
"An error occurred in the process of payment","Un error ha ocurrido en el proceso de pago"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply","Aplicar"
"Apply Coupon","Aplicar un cupón"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","¿Está seguro de abandonar esta página? Deberá pasar por los pasos de realizar Pedido de nuevo."
"Are you sure you would like to remove this item from the shopping cart?","¿Está seguro de quitar este artículo del carrito de compras?"
"Back","Volver atrás"
"Back to Billing Information","Volver a Información de Facturación"
"Back to Select Addresses","Volver a Selección de Dirección"
"Back to Shipping Information","Volver a la información de envío"
"Back to Shopping Cart","Volver al Carrito de Compras"
"Based on your selection, you may be interested in the following items:","Probablemente le interesen también los siguientes artículos:"
"Billing Address","Dirección de facturación"
"Billing Information","Información  de facturación"
"Billing Information - %s","Información  de facturación - %s"
"Can not remove the item.","No se puede quitar este item."
"Can not save item.","Can not save item."
"Cancel","Cancelar"
"Cancel Coupon","Cancelar cupón"
"Cannot add item to the shopping cart.","No se puede agregar el producto al Carrito de Compras."
"Cannot add the item to shopping cart","No se puede agregar el producto al Carrito de Compras."
"Cannot add the item to shopping cart.","No se puede agregar el producto al Carrito de Compras."
"Cannot apply the coupon code.","No se puede aplicar el código de cupón."
"Cannot configure product.","No se puede configurar el producto."
"Cannot open the overview page","Cannot open the overview page"
"Cannot process the item.","No se puede procesar el item."
"Cannot remove the item.","No se puede quitar el item."
"Cannot update shopping cart.","No se puede actualizar el Carrito de Compras."
"Cannot update the item.","No se puede actualizar el item."
"Card Verification Number Visual Reference","Referencia visual del número de verificación de la tarjeta"
"Cart","Carrito"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Subtotal del carrito:"
"Change","Cambio"
"Change Billing Address","Cambiar la dirección de facturación"
"Checkbox Text","Texto de Checkbox"
"Checkout","Realizar Pedido"
"Checkout as a Guest or Register","Realizar Pedido como Invitado o Registrarse"
"Checkout as Guest","Realizar Pedido como Invitado"
"Checkout Conditions","Texto de condiciones"
"Checkout Forms Extra","Checkout Forms Extra"
"Checkout Method","Método de Pago"
"Checkout Options","Opciones de Compra"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Texto sección"
"Checkout Terms and Conditions","Términos y condiciones"
"Checkout with Multiple Addresses","Comprar con múltiples direcciones"
"City","Ciudad"
"Clear Shopping Cart","Vaciar Carrito de Compras."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Haga click <a href=""%s"" onclick=""this.target='_blank'"">aquí para imprimir</a> una copia del  pedido."
"Click <a href=""%s"">here</a> to continue shopping.","Haga click <a href=""%s"">aquí</a> para continuar comprando."
"Close","Cerrar"
"Company","Compañia"
"Condition Name","Nombre de condición"
"Configurable Product Image","Configurable Product Image"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Confirmar la contraseña"
"Content","Contenido"
"Content Height","Alto contenido"
"Content Height (css)","Alto contenido (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar hacia la información de facturación"
"Continue to Review Your Order","Continuar a la verificación de su pedido"
"Continue to Shipping Information","Continuar a la información de envío"
"Country","País"
"Coupon code ""%s"" is not valid.","El código del cupón ""%s"" no es válido."
"Coupon code ""%s"" was applied.","El código del cupón ""%s"" fue aplicado."
"Coupon code was canceled.","El código del cupón fue cancelado."
"Create an order from shopping cart","Crear una orden del Carrito de Compras."
"Create Billing Address","Crear una dirección de facturación"
"Create Shipping Address","Crear una dirección de envío"
"Create shopping cart","Crear carrito de compras."
"Customer Address is not valid.","Los datos del cliente no son correctos"
"Customer Information","Información del Cliente"
"Customer's information","Información del Cliente"
"Data saving problem","Problema al grabar los datos"
"Default Billing","Facturación por defecto"
"Default Shipping","Envío por defecto"
"Delete Condition","Eliminar condición"
"Details","Detalles"
"Disabled","Desactivar"
"Discount Codes","Códigos de descuento"
"Display Cart Summary","Mostrar resumen del carrito"
"Display item quantities","Mostrar las cantidades de los artículos"
"Display number of items in cart","Mostrar el número de artículos en el carrito"
"Display number of items in wishlist","Mostrar el número de artículos en la lista de deseos"
"Display Shopping Cart Sidebar","Mostrar el carrito de compras en la barra horizontal"
"Easy access to your order history and status","Fácil acceso a su historial de compras y estado"
"Edit","Editar"
"Edit Address","Editar la dirección"
"Edit Billing Address","Editar la información de facturación"
"Edit Condition","Editar Condición"
"Edit item","Editar Artículo"
"Edit item parameters","Editar Parámetros de Artículo"
"Edit Items","Editar los artículos"
"Edit Shipping Address","Editar la dirección de envío"
"Edit Terms and Conditions","Editar términos y condiciones"
"Edit Your Cart","Editar su carrito"
"Email Address","Dirección de correo electrónico"
"Empty Cart","Carrito de Compras Vacío"
"Empty Shopping Cart Content Before","Vaciar Carrito de Compras antes."
"Enable Onepage Checkout","Habilitar Orden de una sola página."
"Enable Terms and Conditions","Habilitar Términos y Condiciones"
"Enabled","Activar"
"Enter a New Address","Ingrese una nueva dirección"
"Enter your coupon code if you have one.","Ingrese su código de cupón si tiene uno."
"Enter your destination to get a shipping estimate.","Ingrese su destino para obtener un precio estimado de envío."
"Estimate","Estimado"
"Estimate Shipping and Tax","Estimar envío e impuestos"
"Excl. Tax","No incluye Impuestos"
"Fast and easy check out","Compra rápida y fácil"
"Fax","Fax"
"Forgot an Item?","¿Olvidó un artículo?"
"Forgot your password?","¿Olvidó su contraseña?"
"Get a Quote","Obtener un presupuesto"
"Get list of available payment methods","Obtener una lista de métodos de pago disponibles"
"Get list of available shipping methods","Obtener una lista de métodos de envío disponibles"
"Get list of products in shopping cart","Obtener una lista de productos en el carrito de compras"
"Get terms and conditions","Obtener términos y condiciones"
"Get total prices for shopping cart","Obtener precio total del carrito de compras"
"Gift Message","Mensaje para el Regalo"
"Grand Total:","Suma total:"
"Grouped Product Image","Grouped Product Image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Impuestos"
"Invalid checkout type.","Invalid checkout type."
"Invalid data.","Datos inválidos."
"Invalid email address ""%s""","El correo ""%s"" no es correcto"
"Invalid method: %s","Invalid method: %s"
"Invalid shipping method.","Método de envío inválido"
"Item not found or already ordered","Item not found or already ordered"
"Item was removed successfully.","Item was removed successfully."
"Item was updated successfully.","Item was updated successfully."
"Items","Artículos"
"Items After","Items After"
"Items Before","Items Before"
"Load customer quote error","Error al cargar el presupuesto del cliente"
"Loading next step...","Cargando el siguiente paso..."
"Login","Acceder"
"Login/Registration Before","Login/Registration Before"
"Manage Terms and Conditions","Manage Terms and Conditions"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","La máxima cantidad para envíos a direcciones múltiples es  %s"
"Mini-cart promotion block","Mini-cart promotion block"
"Minimum order amount is %s","Minimum order amount is %s"
"Move","Mover"
"Move to Wishlist","Mover a la lista de deseos"
"Multishipping Checkout","Multishipping Checkout"
"Multishipping Checkout Address (Any) Form","Multishipping Checkout Address (Any) Form"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
"Multishipping Checkout Overview","Multishipping Checkout Overview"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Shipping Address Creation"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Shipping Address Edit Form"
"Multishipping Checkout Shipping Address Selection","Multishipping Checkout Shipping Address Selection"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout Shipping Information Step"
"Multishipping Checkout Success","Multishipping Checkout Success"
"My Cart","Mi carrrito"
"My Cart (%s item)","Mi carrito (%s artículo)"
"My Cart (%s items)","Mi carrito (%s artículos)"
"My Cart Link","Mi enlace al carrito"
"New Address","Nueva dirección"
"New Condition","Nueva condición"
"New Terms and Conditions","New Terms and Conditions"
"No Payment Methods","No Payment Methods"
"ok","ok"
"One item of products do not have identifier or sku","One item of products do not have identifier or sku"
"One item of products is not belong any of quote item","One item of products is not belong any of quote item"
"One Page Checkout","One Page Checkout"
"One Page Checkout Failure","One Page Checkout Failure"
"One Page Checkout Overview","One Page Checkout Overview"
"One Page Checkout Success","One Page Checkout Success"
"or","or"
"Order #","Orden #"
"Order place error.","Order place error."
"Order Review","Revisión del Pedido"
"Order Success","Pedido exitoso"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","EL TOTAL DE LA ORDEN SE MOSTRARÁ ANTES DE ENVIARLA"
"Other Items in Your Order","Other Items in Your Order"
"Overview Items After","Overview Items After"
"Password","Contraseña"
"Payment Failed Email Reciever","Correo Remitente de error de pago"
"Payment Failed Email Sender","Correo envio de error de pago"
"Payment Failed Emails","Correos de error de pago"
"Payment Failed Template","Plantilla de error de pago"
"Payment Information","Información de pago"
"Payment Method","Método de pago"
"Payment method information","Payment method information"
"Payment method is not defined","El método de pago no está definido"
"Payment Methods After","Payment Methods After"
"Payment Methods After Checkout Button","Payment Methods After Checkout Button"
"Payment Methods Before","Payment Methods Before"
"Payment Methods Before Checkout Button","Payment Methods Before Checkout Button"
"Payment methods in shopping cart","Payment methods in shopping cart"
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
"Place Order","Realizar el Pedido"
"Please agree to all Terms and Conditions before placing the order.","Por favor,  accepte los términos y condiciones antes de hacer el pedido."
"Please agree to all Terms and Conditions before placing the orders.","Por favor, accepte los términos y condiciones antes de hacer los pedidos"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please check billing address information.","Please check billing address information."
"Please check shipping address information.","Please check shipping address information."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please log in below:","Por favor acceda:"
"Please select region, state or province","Seleccione una región, estado o provincia"
"Please select shipping address for applicable items","Por favor, seleccione la dirección de envío de los artículos aplicables"
"Please select shipping methods for all addresses","Por favor, seleccione métodos de envío para todas las direcciones "
"Please select valid payment method.","Please select valid payment method."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Price","Precio"
"Proceed to Checkout","Realizar Pedido"
"Product","Producto"
"Product Name","Nombre del producto"
"Products","Productos"
"Qty","Cantidad"
"Qty:","Cantidad:"
"Quantity","Cantidad"
"Quantity was recalculated from %d to %d","Quantity was recalculated from %d to %d"
"Quote item does not exist.","Quote item does not exist."
"Quote item is not found.","Quote item is not found."
"Quote Lifetime (days)","Validez del presupuesto (días)"
"Recently added item(s)","Artículo(s) añadidos recientemente"
"Register","Registrarse"
"Register and save time!","Regístrese y ahorre tiempo!"
"Register to Create an Account","Regístrese para crear una cuenta"
"Register with us for future convenience:","Regístrese para su conveniencia:"
"Remove coupon code from shopping cart","Remove coupon code from shopping cart"
"Remove Item","Eliminar artículo"
"Remove product from shopping cart","Quitar producto del carrito de compras"
"Remove product(s) from shopping cart","Quitar producto(s) del carrito de compras"
"Remove This Item","Quitar este artículo"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Retrieve information about shopping cart","Retrieve information about shopping cart"
"Review Order","Revisar el Pedido"
"Review Order - %s","Revisar el Pedido - %s"
"Sales","Ventas"
"Save Condition","Guardar condición"
"Save in address book","Guardar en la libreta de direcciones"
"See price before order confirmation.","See price before order confirmation."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o ingrese una nueva dirección."
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío de su libreta de direcciones o ingrese una nueva dirección."
"Select Address","Seleccione la dirección"
"Select Addresses","Seleccione las direcciones"
"Select Shipping Method","Seleccione el método de envío"
"Select State/Province...","Seleccione el Estado/Provincia..."
"Send Payment Failed Email Copy Method","Copia de correo de error de pago"
"Send Payment Failed Email Copy To","Copia de correo a, de error de pago"
"Send To","Enviar A"
"Separate by "","".","Separar por "",""."
"Set customer for shopping cart","Set customer for shopping cart"
"Set customer's addresses in shopping cart","Set customer's addresses in shopping cart"
"Set payment method","Set payment method"
"Set shipping method","Set shipping method"
"Ship to different address","Enviar a una dirección diferente"
"Ship to Multiple Addresses","Enviar a direcciones múltiples"
"Ship to this address","Enviar a esta dirección"
"Shipping Address","Dirección del envío"
"Shipping Information","Shipping information"
"Shipping Method","Método de envío"
"Shipping method has not been selected yet","El método de envío no ha sido seleccionado todavía"
"Shipping Methods","Métodos de envío"
"Shipping methods in shopping cart","Shipping methods in shopping cart"
"Shipping selection is not applicable.","Shipping selection is not applicable."
"Shipping To","Enviar a"
"Shopping Cart","Carrito de compras"
"Shopping cart ability to set coupon code","Shopping cart ability to set coupon code"
"Shopping Cart Form Before","Shopping Cart Form Before"
"Shopping Cart is Empty","El carrito de compras esta vacío"
"Shopping Cart Items After","Shopping Cart Items After"
"Shopping Cart Items Before","Shopping Cart Items Before"
"Shopping Cart Sidebar","Carro de la  compra en la barra lateral"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Show Content as","Mostrar contenido como"
"SKU","SKU"
"Some of the requested products are not available in the desired quantity.","Some of the requested products are not available in the desired quantity."
"Some of the requested products are unavailable.","Some of the requested products are unavailable."
"Some products quantities were recalculated because of quantity increment mismatch","Some products quantities were recalculated because of quantity increment mismatch"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Lo siento, la compra como invitado no esta permitida. Intente más tarde o contacte con la tienda."
"Sorry, no quotes are available for this order at this time.","Disculpe, no hay presupuestos disponibles para este Pedido en este momento."
"State/Province","Estado/Provincia"
"Status","Estado"
"Store View","Vista de la tienda"
"Street Address","Calle"
"Street Address %s","Street Address %s"
"Submitting order information...","Enviando la información del Pedido…"
"Subtotal","Subtotal"
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Telephone","Teléfono"
"Terms and Conditions","Términos y condiciones"
"Terms and Conditions Information","Información de los términos y condiciones"
"Text","Texto"
"Thank you for your purchase!","¡Gracias por su compra!"
"The condition has been deleted","The condition has been deleted"
"The condition has been saved.","The condition has been saved."
"The onepage checkout is disabled.","The onepage checkout is disabled."
"The product could not be found.","The product could not be found."
"The product does not exist.","The product does not exist."
"There are <a href=""%s"">%s items</a> in your cart.","Hay <a href=""%s"">%s artículos</a> en su carrito."
"There is <a href=""%s"">1 item</a> in your cart.","Hay <a href=""%s"">1 artículo</a> en su carrito."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Ya existe un usuario registrado con ese correo electrónico. Por favor inicie sesión usando esta dirección o use otra dirección para crear una cuenta."
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Por favor, contacte con nosotros o inténtelo de nuevo más tarde."
"This condition no longer exists.","This condition no longer exists."
"Total","Total"
"Total for this address","Total para esta dirección"
"Unable to set Payment Method.","Unable to set Payment Method."
"Unit Price","Precio unitario"
"Update","Actualizar"
"Update Cart","Actualizar Carrito"
"Update product quantities in shopping cart","Actualizar cantidades de producto en el carrito de compras"
"Update product(s) quantities in shopping cart","Actualizar cantidades de producto en el carrito de compras"
"Update Qty &amp; Addresses","Actualizar la cantidad  &amp; Direcciones"
"Update Shopping Cart","Actualizar el carrito de compras"
"Update Total","Actualizar el total"
"Use Billing Address","Usar la dirección de facturación"
"VAT Number","VAT Number"
"View Shopping Cart","Ver Carrito de Compras"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su Pedido y en breve recibirá un correo electrónico con los detalles. Una vez que su Pedido sea despachado, recibirá otro correo con el número de seguimiento del envío."
"What&#39;s this?","¿Qué es esto?"
"What's this?","¿Qué es esto?"
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá un correo electrónico de confirmación de su Pedido con los detalles del mismo y un enlace para seguir todo el proceso."
"Your billing agreement # is: %s.","Su número de acuerdo de facturación es: %s."
"Your Checkout Progress","Su progreso en la caja"
"Your order # is: %s.","Su número de orden es: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Your order cannot be completed at this time as there is no payment methods available for it."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your order has been received.","Su orden ha sido recibida."
"Your order number is ","El número de pedido es"
"Your recurring payment profiles:","Your recurring payment profiles:"
"Zip","Zip"
"Zip/Postal Code","Código postal"
