"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d."
"-- Please Select --","-- Por favor seleccione --"
"Add New Class","Agregar una nueva clase"
"Add New Tax Rate","Agregar una nueva tasa de impuesto"
"Add New Tax Rule","Agregar una nueva regla de impuesto"
"After Discount","After Discount"
"An error occurred while deleting this rate.","An error occurred while deleting this rate."
"An error occurred while deleting this rate. Incorrect rate ID.","An error occurred while deleting this rate. Incorrect rate ID."
"An error occurred while deleting this tax class.","An error occurred while deleting this tax class."
"An error occurred while deleting this tax rule.","An error occurred while deleting this tax rule."
"An error occurred while saving this tax class.","An error occurred while saving this tax class."
"An error occurred while saving this tax class. A class with the same name","An error occurred while saving this tax class. A class with the same name"
"Apply Customer Tax","Apply Customer Tax"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected."
"Apply Discount On Prices","Apply Discount On Prices"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","¿Seguro que desea hacer esto?"
"Back","Volver atrás"
"Before Discount","Before Discount"
"Calculate off subtotal only","Calculate off subtotal only"
"Calculation Settings","Calculation Settings"
"Catalog Prices","Catalog Prices"
"Class Name","Nombre de la clase"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Click here to go to <a href=""%s"">Tax configuration</a> and change your settings."
"Code","Code"
"Country","País"
"CSV","CSV"
"Custom price if available","Custom price if available"
"Customer Tax Class","Clase de impuesto al cliente"
"Customer Tax Class Information","Información de la clase de impuesto al cliente"
"Customer Tax Classes","Impuestos al cliente"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Destination Calculation","Default Tax Destination Calculation"
"Delete Class","Borrar la clase"
"Delete Rate","Borrar la tasa"
"Delete Rule","Borrar la regla"
"Display Full Tax Summary","Display Full Tax Summary"
"Display Prices","Display Prices"
"Display Product Prices In Catalog","Display Product Prices In Catalog"
"Display Shipping Amount","Display Shipping Amount"
"Display Shipping Prices","Display Shipping Prices"
"Display Subtotal","Display Subtotal"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Edit Class","Editar la clase"
"Edit Class '%s'","Editar la clase '%s'"
"Edit Rule","Editar la regla"
"Edit Tax Rate","Editar la tasa de impuesto"
"Enable Cross Border Trade","Enable Cross Border Trade"
"Excel XML","Excel XML"
"Excl. Tax","Excl. el impuesto"
"Excl. Tax:","Excl. Tax:"
"Excluding Tax","Excluding Tax"
"Export Tax Rates","Exportar las tasas de impuesto"
"for store(s)","for store(s)"
"Grand Total (Excl. Tax)","Total (Excl. Impuestos)"
"Grand Total (Excl.Tax)","Total (Excl. Impuestos)"
"Grand Total (Incl. Tax)","Total (Incl. Impuestos)"
"Grand Total (Incl.Tax)","Total (Incl. Impuestos)"
"Grand Total Excl. Tax","Total Excl. Impuestos"
"Grand Total Incl. Tax","Total Incl. Impuestos"
"Ignore this notification","Ignore this notification"
"Import / Export Tax Rates","Importar / Exportar las tasas de impuesto"
"Import Tax Rates","Importar las tasas de impuesto"
"Inc. Tax","Inc. impuesto"
"Incl. Tax","Incl. impuesto"
"Incl. Tax:","Incl. Tax:"
"Include Tax In Grand Total","Include Tax In Grand Total"
"Including and Excluding Tax","Including and Excluding Tax"
"Including Tax","Including Tax"
"Invalid file format upload attempt","El formato del archivo que se intenta subir es inválido"
"Invalid file upload attempt","El intento de subir el archivo fue inválido"
"Manage Customer Tax Classes","Gestionar clases de impuesto al cliente"
"Manage Product Tax Classes","Gestionar clases de impuesto al producto"
"Manage Tax Rates","Gestionar tasas de impuestos"
"Manage Tax Rules","Gestionar reglas de impuestos"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Name","Name"
"New Class","Nueva clase"
"New Rule","Nueva regla"
"New Tax Rate","Nueva tasa de impuesto"
"No","No"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
"Original price only","Original price only"
"Please fill all required fields with valid information.","Please fill all required fields with valid information."
"Please see <a href=""%s"">source</a> for more details.","Please see <a href=""%s"">source</a> for more details."
"Price Display Settings","Price Display Settings"
"Priority","Priority"
"Product Tax Class","Clase de impuesto al producto"
"Product Tax Class Information","Información de la clase de impuesto al producto"
"Product Tax Classes","Impuestos al producto"
"Range From","Range From"
"Range To","Range To"
"Range To should be equal or greater than Range From.","Range To should be equal or greater than Range From."
"Rate","Rate"
"Rate Percent","Rate Percent"
"Rate Percent should be a positive number.","Rate Percent should be a positive number."
"Reset","Reiniciar"
"Row Total","Row Total"
"Sales","Ventas"
"Save and Continue Edit","Save and Continue Edit"
"Save Class","Guardar la clase"
"Save Rate","Guardar la tasa"
"Save Rule","Guardar la regla"
"Shipping & Handling (Excl.Tax)","Shipping & Handling (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","Shipping & Handling (Incl.Tax)"
"Shipping & Handling Tax","Shipping & Handling Tax"
"Shipping (Excl. Tax)","Shipping (Excl. Tax)"
"Shipping (Incl. Tax)","Shipping (Incl. Tax)"
"Shipping Excl. Tax (%s)","Shipping Excl. Tax (%s)"
"Shipping Incl. Tax (%s)","Shipping Incl. Tax (%s)"
"Shipping Prices","Shipping Prices"
"Shopping Cart Display Settings","Shopping Cart Display Settings"
"Sort Order","Sort Order"
"State","Estado"
"State/Region","Estado/Región"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Excl.Tax)","Subtotal (Excl.Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"Subtotal (Incl.Tax)","Subtotal (Incl.Tax)"
"Subtotal only","Subtotal only"
"Tax","Impuestos"
"Tax Calculation Based On","Tax Calculation Based On"
"Tax Calculation Method Based On","Tax Calculation Method Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Tasa del impuesto"
"Tax rate cannot be removed. It exists in tax rule","Tax rate cannot be removed. It exists in tax rule"
"Tax Rate Information","Información de la tasa del impuesto"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax Rule Information","Información de la regla de impuesto"
"Tax Rules","Reglas de impuesto"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"The tax class has been deleted.","The tax class has been deleted."
"The tax class has been saved.","The tax class has been saved."
"The tax rate has been deleted.","The tax rate has been deleted."
"The tax rate has been imported.","The tax rate has been imported."
"The tax rate has been saved.","The tax rate has been saved."
"The tax rule has been deleted.","The tax rule has been deleted."
"This class no longer exists","Esta clase ya no existe"
"This rule no longer exists","Esta regla ya no existe"
"This rule no longer exists.","This rule no longer exists."
"Total","Total"
"Unit Price","Unit Price"
"Warning tax configuration can result in rounding errors","Warning tax configuration can result in rounding errors"
"Warning tax configuration can result in unexpected FPT prices on applicable devices","Warning tax configuration can result in unexpected FPT prices on applicable devices"
"Warning tax discount configuration might result in different discounts than a customer might expect","Warning tax discount configuration might result in different discounts than a customer might expect"
"When catalog price includes tax, enable this setting will fix the price no matter what the customer's tax rate is.","When catalog price includes tax, enable this setting will fix the price no matter what the customer's tax rate is."
"Whether catalog prices entered by admin include tax.","Whether catalog prices entered by admin include tax."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Whether shipping amounts entered by admin or obtained from gateways include tax."
"Yes","Yes"
"You cannot delete this tax class as it is used for %d customer groups.","No puede borrar esta clase de impuesto, ya que se utiliza para %d grupos de clientes."
"You cannot delete this tax class as it is used for %d products.","No puede borrar esta clase de impuesto, ya que se utiliza para %d productos."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","No puede borrar esta clase de impuesto ya que se utiliza en las reglas de impuestos. Primero debe borrar las reglas en que se utiliza."
"Zip code should not contain characters other than digits.","Zip code should not contain characters other than digits."
"Zip/Post Code","Código postal"
"Zip/Post is Range","Zip/Post is Range"
